term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,dfidf,mean_tfidf
media,0.0057851629719317,-0.0101210027283182,0.0201699367537215,0.0315752827409838,-0.0238654582916129,-0.0283524566865742,-0.0335022545781634,-0.0385288412707234,0.0106453569283102,-0.0126054749978983,34,0.0004434763327115,11.138855266208465,5,NNP,2,"{'NNS', 'NNP'}",0,9.316952533289973,0.0111092673481539
vacuum,-0.0261811739563088,-0.0015959317351151,-0.0200444979046265,0.0380994043429938,0.0095237473891756,-0.024161357145,-0.0380862890589815,0.0274046455006761,-0.0060865909270696,-0.0137779453114013,46,0.0005999973913156,10.702756151401791,6,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0084141675031323
hubs,0.0080276308666196,0.0057004418727067,-0.0067751407683211,0.0031159950747263,0.0131521274870629,-0.0101171749055091,-0.0022492838641519,0.0108411606294038,-0.0186726293093046,-0.004279214109147,12,0.000156521058604,12.641355606737648,4,NN,3,"{'NNS', 'NNP', 'NN'}",0,9.316952533289973,0.0056733665987688
thanks,-0.0113968017643492,-0.0029268781821534,-0.0001430115510703,0.0140630404856814,-0.0093842530548914,0.0114293574261022,-0.0096927533886039,-0.0030085407352657,0.0284656376470216,-0.01107154083537,15,0.0001956513232551,12.319427511850286,6,NNS,2,"{'NNS', 'NNP'}",0,9.316952533289973,0.0045044946174809
monitoring,-0.0019971393844226,-0.0152886462730109,0.0067447079407737,0.0103518524923134,-0.0056226529767002,0.0071051832825147,-0.0001055488105482,0.0127788283117406,0.01796185110319,-0.0058294997597654,9,0.000117390793953,13.056393106016492,10,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0026948684947539
lost,0.0002413366135381,0.0102885848549743,-0.0106577244213996,0.0085999152693561,-0.0030979713578484,0.0094514887815299,-0.0104591186050862,0.0078603933601364,-0.001806780438052,-0.0231616083782671,16,0.0002086947448054,12.226318107458804,4,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0034649298384511
roof,-0.0091521937818196,0.0197661453927392,-0.0002334473863177,-0.0120117763320757,-0.0028110590242188,-0.0090249975215447,0.0093283831704484,0.0047010202450383,-0.0116858054305209,-0.0030518032139744,9,0.000117390793953,13.056393106016492,4,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0045225816001139
objectives,0.0036628455963181,-0.0063951963734478,-0.0060168995632717,0.0079349147855316,-0.0023219259448995,0.0001938460745171,-0.0064119387146435,0.0023621034199819,0.0104955035509964,-0.006574852084276,8,0.0001043473724027,13.226318107458804,10,NNS,1,{'NNS'},0,9.316952533289973,0.0021143775386731
motor,-0.0012996544476245,-0.0100942887749249,0.0039638010475823,-0.0103303561360099,0.0026238286643602,0.0115114907399349,-0.0043095681684071,0.004687390600239,0.0074049697897151,-0.0070278621943709,8,0.0001043473724027,13.226318107458804,5,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0020563540193727
role,0.0028807008095184,0.002112201857365,0.004600971085006,-0.0006667042427899,-0.0083861766599289,0.0113061498557719,0.0137156539922082,0.0135970804928506,0.0155141871372589,0.0165039144805811,12,0.000156521058604,12.641355606737648,4,NN,1,{'NN'},0,9.316952533289973,0.0021632372916112
printing,0.004060661102201,-0.0148373186434553,0.011566814110821,0.0099802942969548,0.0026604891246458,0.0121592486378514,0.0305416082760234,0.021169605168125,0.0003811913099191,0.0413240285924406,16,0.0002086947448054,12.226318107458804,8,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0052136095884169
mark,0.0083046805891102,-0.0010201374379445,-0.001602985396563,0.0047911921461636,0.0009717302454817,-0.0128746630725782,0.0035136009896869,0.0139098639408127,0.0037478060419412,0.0023743095523774,9,0.000117390793953,13.056393106016492,4,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0022046872530815
infrastructure,-0.0023196142391893,0.0070485205294603,0.0052503144312821,0.0101855269620459,-0.0022552894451494,-0.001035443275279,0.0107717675473068,0.0051232625378809,0.0253049941160584,0.0170650495007177,8,0.0001043473724027,13.226318107458804,14,NN,1,{'NN'},0,9.316952533289973,0.0031639023037117
white,0.0050251288923661,0.0049765190873082,0.0069307029047983,-0.0001125330218394,-0.0069478458279531,0.00792981052394,-0.0002579502352407,-0.0091178074559386,-0.010667029392742,-0.0115620239493172,12,0.000156521058604,12.641355606737648,5,NNP,1,{'NNP'},0,9.316952533289973,0.0039515604302109
feature,0.004559327025384,-0.004848248068243,0.0111763915292664,0.0086520804651167,0.0056933089094514,-0.0257126964012502,0.0018367806836471,0.0257134526151183,-0.0109191712389862,-0.0178549695021629,15,0.0001956513232551,12.319427511850286,7,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0060149547038332
station,-0.010270404390665,-0.0140857794931253,3.400787317013836e-05,0.011394763769674,0.0054025435846423,-0.0129966019483616,-0.0010981046246365,-0.0144609060538812,-0.0057348723253963,-0.0119894423770502,8,0.0001043473724027,13.226318107458804,7,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0027687788445253
regulations,0.0142828976087826,-0.0002772959635382,0.0039630138133142,0.0116127495193135,-0.0046818664591965,-0.0019087411321021,0.016189891062068,0.0259459470563315,0.0101415310314669,0.0136063555881451,15,0.0001956513232551,12.319427511850286,11,NNS,2,"{'NNS', 'NNP'}",0,9.316952533289973,0.0038678999286984
newsletter,0.0260547364759007,0.0031292250346028,0.0182657125178859,0.0063091249798453,-0.0268849158987014,0.0329397931005631,-0.0246913427430042,0.018417939379401,-0.0203373619659027,0.0301754590766771,33,0.0004304329111612,11.181923988100351,10,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0055682645412309
specialist,0.0175113358254159,-0.0019803642865172,0.0223458412540371,0.009561299664964,-0.0063813479490876,0.0323575922846209,-0.0085736677508867,-0.0121943865220396,-0.0059099453298434,-0.0175894039169738,15,0.0001956513232551,12.319427511850286,10,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0070729091884624
week,0.0016826952827412,0.0100732903598542,-0.0017943469440218,0.0036576159163472,-0.0007514866392455,0.0141140331239025,-0.0024683070040386,0.0080306101502189,-0.020378293931589,0.0121675254660868,13,0.0001695644801544,12.525878389317713,4,NN,1,{'NN'},0,9.316952533289973,0.0038384890569786
possibility,0.004401737108529,-0.0002076107427002,-0.0050259835816362,-0.0030081730154397,-0.0008026376019142,-0.0134782673376014,-0.0010534487855885,0.005715960551472,-0.004859473436405,0.0038913911419673,8,0.0001043473724027,13.226318107458804,11,NN,1,{'NN'},0,9.316952533289973,0.0019469704288063
passion,0.00521212874994,0.0021555313555626,0.0036411784497024,0.0001175143085996,-0.0042954963927814,0.0176357740962633,0.003793287181651,0.0002402523726034,-0.0046803979693057,-0.002626935249321,8,0.0001043473724027,13.226318107458804,7,NN,1,{'NN'},0,9.316952533289973,0.0035882568889278
username,0.0126484862006593,0.0059114737142268,-0.0036681423276321,0.0034321654590821,-0.0126014433400568,0.0330489473765952,-0.0063382753576679,-0.0053470169210229,-0.0024389307946865,-0.0115003287941028,9,0.000117390793953,13.056393106016492,8,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0023862163798816
effort,0.0029125138715763,-0.0037554341813303,-0.0015377777569865,0.0057130793935556,0.0081973495467401,-0.0014331040885507,0.0105698251297907,0.0073922951994894,-0.0068380362446081,0.0088833949187093,8,0.0001043473724027,13.226318107458804,6,NN,1,{'NN'},0,9.316952533289973,0.0037575475988231
assets,0.009615903198892,-0.0011887718859027,0.0059965989863707,0.0030075840329115,-0.0016042747781879,0.0060723858671974,0.0071773171858265,0.0210320855777629,0.0067579482191067,-0.0022379660840458,9,0.000117390793953,13.056393106016492,6,NNS,2,"{'NNS', 'NNP'}",0,9.316952533289973,0.0026453060200571
nature,0.0052485854521893,0.0001392120063878,-0.0049922994707655,0.0059533747538858,0.0058107101161555,0.0041712777103785,0.0017245784786777,0.0083390609587049,-0.0094847721179696,0.0079358075075992,9,0.000117390793953,13.056393106016492,6,NN,1,{'NN'},0,9.316952533289973,0.0017250463183814
michigan,0.005253966846211,0.0138649498444195,0.0127228184867577,-0.0067006792500473,0.0335423884082069,0.0165254780562511,-0.0088175171565884,-0.0345023515597213,0.0126031347022262,-0.0148781726031039,16,0.0002086947448054,12.226318107458804,8,NNP,1,{'NNP'},0,9.316952533289973,0.0059340400841552
warehouse,-0.0016517589465129,-0.0073692456857645,0.0056547248037965,-0.011862241818531,-0.0022361255024604,0.0083019751109802,0.0023910036486758,0.0171508711546484,0.009434689525033,-0.0070159576450815,13,0.0001695644801544,12.525878389317713,9,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0036303230795466
approval,0.002252962480263,-0.0106587139120343,-0.0076136906881309,0.0021881965994211,3.067246452993918e-05,-0.0027998686342587,-0.005906050202303,-0.0069338801623479,0.0118772232963196,-0.0003258866477314,8,0.0001043473724027,13.226318107458804,8,NN,2,"{'NNP', 'NN'}",0,9.316952533289973,0.0029622889973608
me,0.010701726414046,0.002643025978693,0.002093886593469,-0.0022900403855088,-0.0084346607770421,0.0191980051471978,0.0024774172476528,0.0071826758648834,-0.0023075050642113,-0.0050440148792963,7,9.13039508523876e-05,13.4189631854012,2,NNP,1,{'NNP'},1,9.316952533289973,0.0026186120213015
medium,-0.0089250027943649,-0.0096793617890348,-0.0119442861451581,-0.0130744405981737,0.0002976117006565,-0.0049822589888913,0.0006306565499223,0.0045307760216341,-9.636160845449544e-05,0.0082931989566552,10,0.0001304342155034,12.904390012571442,6,NNP,2,"{'NN', 'NNP'}",0,9.316952533289973,0.0022000765619636
make,0.0179536093096851,-0.0056647155993881,0.0249700645123494,-0.0040832743021074,-0.0245425374870103,0.0460659988612901,-0.0199292154416703,0.0206797668600779,0.0236690306311724,-0.0433018779040281,25,0.0003260855387585,11.58246191768408,4,NNP,1,{'NNP'},0,9.316952533289973,0.0083288456518236
submit,0.0105321370552357,0.0090965822839715,-0.0180953693496428,-0.0055074937257722,7.170295468827386e-05,0.0344458364809621,0.0310039235477293,-0.0716045699871948,-0.0370770027388768,-0.0120458547260021,20,0.0002608684310068,11.904390012571442,6,NNP,1,{'NNP'},0,9.316952533289973,0.008909974094844
