company_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
494,0.00022123894012416334,0.00022123894296079578,0.00022123894018753984,0.00022123894250124332,0.00022123894266335315,0.9957964601009327,0.0002212389412103018,0.00022123894549564856,0.00022123894141166134,0.00022123894228963343,0.0002212389426721344,0.00022123894278160047,0.0002212389412567087,0.00022123894213521727,0.00022123894103187768,0.00022123894173955077,0.00022123894145188882,0.0002212389421343245,0.00022123894172129595,0.0002212389432982614
498,0.5049365312478297,0.0010000000270712112,0.0010000000112403455,0.0010000000201517852,0.4770634684198533,0.0010000000226071228,0.001000000014805008,0.0010000000284973154,0.001000000013970847,0.0010000000148665698,0.0010000000267240787,0.0010000000288031042,0.0010000000147197539,0.001000000017185156,0.0010000000066581883,0.0010000000067217696,0.001000000017764057,0.0010000000161244145,0.0010000000192405744,0.001000000025166036
500,5.605381182010254e-05,5.605381197560007e-05,5.6053811828035406e-05,5.605381180657704e-05,5.605381196379e-05,5.605381191768962e-05,5.605381186708261e-05,5.6053811971243985e-05,5.605381184869845e-05,5.605381184453462e-05,5.605381188957102e-05,5.605381205747579e-05,5.6053811884525524e-05,5.605381187625823e-05,0.9989349775740263,5.6053811890668045e-05,5.605381179333963e-05,5.605381187753027e-05,5.605381188462408e-05,5.605381197651719e-05
503,0.0002688172067740517,0.00026881720671253644,0.00026881720727615655,0.9948924730728478,0.0002688172070070175,0.00026881720680033,0.00026881720645527884,0.00026881720729362207,0.0002688172059787511,0.000268817206750571,0.00026881720663630504,0.0002688172065084045,0.0002688172065484082,0.0002688172069767071,0.00026881720495472016,0.00026881720623662297,0.00026881720778579814,0.0002688172069712331,0.0002688172069729997,0.0002688172065126479
523,9.98004002894356e-05,0.11411427337096468,9.980039995636664e-05,9.980040059739027e-05,9.980040100574747e-05,9.98004009247436e-05,9.980040025417248e-05,9.980040066425323e-05,9.980040027394275e-05,9.9800400301157e-05,9.980040095172309e-05,0.8840893194190554,9.980040081146358e-05,9.980040085148498e-05,9.980039994813255e-05,9.980040044020109e-05,9.980040049043563e-05,9.98004005495585e-05,9.980040074354317e-05,9.98004009261464e-05
531,8.726003528102853e-05,8.726003611444732e-05,8.726003542545355e-05,8.726003548203626e-05,8.726003589958201e-05,8.726003620852041e-05,8.726003546955625e-05,8.726003565180674e-05,8.726003568846403e-05,8.726003593209199e-05,0.9983420593203378,8.726003600632542e-05,8.72600358052589e-05,8.726003595689096e-05,8.72600355464443e-05,8.726003596556051e-05,8.726003563220525e-05,8.726003570209701e-05,8.726003589477993e-05,8.726003599960304e-05
532,7.246376875811053e-05,0.9986231883893559,7.246376866948679e-05,7.246376901838417e-05,7.246376908785868e-05,7.24637689598785e-05,7.246376911403896e-05,7.246376903917181e-05,7.246376896591479e-05,7.246376891470109e-05,7.246376906946003e-05,7.24637687860941e-05,7.246376944736935e-05,7.24637692093828e-05,7.24637683438293e-05,7.246376889234259e-05,7.246376897715279e-05,7.246376936313577e-05,7.246376892848363e-05,7.24637690992059e-05
548,0.0007936508085720445,0.0007936508131628987,0.0007936507946622758,0.0007936507983589724,0.0007936508109936705,0.0007936508105070819,0.0007936508049232855,0.0007936508081786887,0.0007936508017054844,0.0007936508018641051,0.0007936508099532406,0.0007936508005592909,0.0007936508075167615,0.0007936508080643841,0.0007936507988172256,0.0007936508000553901,0.9849206347057315,0.0007936508014691443,0.0007936508042552123,0.0007936508106493074
549,0.00023584905769348627,0.00023584905959231044,0.00023584905740858122,0.00023584905987618444,0.00023584905948477862,0.00023584905895890237,0.00023584905966253473,0.00023584905916748067,0.00023584905901741967,0.9955188678739249,0.0002358490593983146,0.00023584905858815594,0.00023584906049002564,0.00023584906012857402,0.00023584905722338282,0.0002358490589796462,0.0002358490593829932,0.00023584906237723733,0.00023584905966397515,0.00023584905898114391
551,0.0007692307777814534,0.9853846150882041,0.0007692307753288774,0.0007692307862279251,0.0007692307864544207,0.0007692307834570884,0.0007692307763819756,0.0007692307860644704,0.0007692307784171621,0.0007692307811458807,0.0007692307815337306,0.0007692307787463896,0.0007692307819680234,0.0007692307846118867,0.0007692307720215121,0.000769230774960222,0.000769230775251997,0.0007692307801493685,0.0007692307834844353,0.0007692308678090928
565,0.02603118498188594,0.020892277582697953,0.00010964912503073734,0.8233990047913904,0.12514964146928212,0.00010964912502382702,0.00010964912530631837,0.00010964912503564856,0.0028831543005498964,0.000109649124093492,0.00010964912539672842,0.00010964912555677459,0.0001096491250641594,0.00010964912517412587,0.0001096491239338262,0.00010964912433172789,0.00010964912472437507,0.00010964912486720816,0.00010964912532889752,0.00010964912532589531
567,0.00014534883913121764,0.18215114551931139,0.00014534883862331508,0.00014534884000554332,0.49809848219090813,0.00014534883965344443,0.00014534884014435898,0.00014534884075536122,0.00014534883977636965,0.00014534883951261053,0.2569020425432889,0.0001453488401436023,0.0001453488405620217,0.00014534884054050255,0.06052274830923538,0.00014534883898854493,0.00014534883902727063,0.00014534884019188802,0.00014534884004929662,0.00014534884015069953
574,9.041591617142268e-05,9.041591452884688e-05,9.041591456940994e-05,0.9354685825768797,9.041591441815683e-05,9.041591466997035e-05,9.041591420101402e-05,9.0415914036632e-05,9.041591380091549e-05,9.041591630063157e-05,0.042812100766521935,9.04159159273093e-05,0.0142444459369479,9.041591475573589e-05,9.041591355690994e-05,9.041591405126669e-05,9.041591453229902e-05,0.006028216082882753,9.041591547932707e-05,9.041591576770813e-05
588,0.00015384615529415226,0.5312386711554649,0.00015384615564905546,0.0001538461557321064,0.00015384615626371666,0.28965239551369126,0.00015384615612349875,0.000153846156580883,0.0001538461559393458,0.00015384615619085898,0.1724767819188413,0.00015384615798487756,0.00015384615599845064,0.0001538461562153367,0.00417061291334587,0.00015384615538523118,0.0001538461559214932,0.00015384615644853044,0.00015384615629961297,0.0001538461566293296
590,0.00013661202334093068,0.0001366120239221397,0.0001366120222715422,0.00013661202262811687,0.00013661202392318525,0.00013661202393779956,0.00013661202302918103,0.0001366120233127968,0.0001366120233271361,0.00013661202295886445,0.0001366120239612098,0.00013661202428001852,0.9974043715562222,0.00013661202318883953,0.000136612023200417,0.0001366120229395152,0.00013661202321676874,0.00013661202328374007,0.00013661202334730167,0.00013661202370841404
599,0.00013550135627840725,0.00013550135703276222,0.0001355013559001964,0.00013550135638766106,0.00013550135694728865,0.0001355013569386829,0.00013550135672915715,0.9974254742239036,0.00013550135626328515,0.00013550135658741097,0.00013550135693934205,0.00013550135680209064,0.0001355013566508279,0.0001355013565156968,0.00013550135647165084,0.0001355013567167925,0.00013550135619818068,0.0001355013569728238,0.00013550135670138975,0.0001355013570629049
603,0.00045871560236764155,0.00045871562151905107,0.00045871559987226303,0.00045871560609410703,0.0004587156029241925,0.0004587156075796063,0.0004587156039186207,0.0004587156019551813,0.0004587156032633196,0.0004587156049539142,0.0004587156036953423,0.00045871560096906797,0.00045871560651375876,0.000458715604479309,0.0004587155983353432,0.0004587156047251145,0.00045871560622966987,0.00045871560388767554,0.9912844035104241,0.00045871560629275325
604,0.00011682243100242116,0.9977803738013769,0.00011682243133761096,0.00011682243122628793,0.00011682243144586153,0.00011682243137149289,0.00011682243132961212,0.00011682243227332713,0.00011682243087774178,0.0001168224325557572,0.00011682243189402091,0.00011682243180473485,0.00011682243151737384,0.00011682243140541745,0.00011682243102316741,0.00011682243097397631,0.00011682243109286186,0.00011682243231922702,0.00011682243139935413,0.00011682243177260812
605,0.00021276595912581513,0.0002127659591694767,0.9959574467821873,0.00021276595908390473,0.00021276595894565055,0.00021276595888943537,0.00021276595887318356,0.00021276595865524006,0.00021276595896216647,0.00021276595852874253,0.00021276595876963268,0.00021276595879344412,0.0002127659589796456,0.0002127659588752507,0.00021276595784865308,0.00021276595835727834,0.00021276595861232587,0.00021276595925475076,0.00021276595923642511,0.0002127659588518143
614,0.00010395010494525341,0.9980249480010188,0.00010395010474115476,0.00010395010539750677,0.0001039501053126721,0.00010395010542609333,0.0001039501051264317,0.00010395010606258254,0.00010395010487595245,0.00010395010506247727,0.00010395010546117078,0.00010395010504130223,0.000103950105458293,0.00010395010573695579,0.00010395010458098034,0.00010395010496717736,0.00010395010484847855,0.00010395010523930736,0.00010395010556087976,0.00010395010513650774
623,0.00011494253061590245,0.9924887981423011,0.00011494253017639008,0.00011494253038494507,0.00011494253130942755,0.00011494253115919085,0.0001149425297500992,0.00011494253007984323,0.00011494253036983362,0.00011494252953294589,0.005442236310517809,0.00011494253075190644,0.00011494253069228262,0.0001149425303230835,0.00011494252953970176,0.00011494253009268761,0.00011494253036489787,0.00011494253056302754,0.00011494253105015503,0.00011494253042448958
639,5.1975052489616904e-05,0.2527731965384042,5.1975052239115116e-05,5.1975052300681685e-05,0.7462912525163705,5.197505274859642e-05,5.197505254126345e-05,5.197505262581872e-05,5.197505237839444e-05,5.1975052303806315e-05,5.19750524777279e-05,5.197505272833698e-05,5.197505262602385e-05,5.1975052558599945e-05,5.1975052259546235e-05,5.197505278156617e-05,5.1975052415433684e-05,5.1975052697427425e-05,5.1975052454920456e-05,5.197505259821661e-05
642,0.0001612903246596919,0.299697332048789,0.00016129032556573718,0.0001612903274540451,0.00016129032652685796,0.00016129032640210244,0.00016129032492536715,0.5318830209631071,0.07922710351347728,0.0001612903282546846,0.08661189825625681,0.0001612903260201206,0.00016129032609020326,0.00016129032683574293,0.0001612903244455989,0.00016129032490620472,0.00016129032548890712,0.00016129032686116581,0.00016129032675536625,0.0001612903271781751
652,0.0001872659193769583,0.00018726592124026836,0.00018726591913791426,0.00018726591982655769,0.00018726592114065693,0.00018726592013472486,0.00018726592133828612,0.996441947518906,0.00018726591908968355,0.00018726591991955293,0.00018726591997761095,0.00018726592058369683,0.00018726591960186237,0.0001872659195530039,0.0001872659190286605,0.0001872659204653098,0.00018726591921238271,0.00018726592040509637,0.00018726592026581756,0.000187265920795886
