term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
cast,-0.0842238936840347,-0.021901272077462303,-0.01389927855332778,0.00850690525438506,-0.009901826836554791,0.04300897757162425,-0.018306619087810394,0.021554951388890436,0.07935110327571822,-0.031567439357835916
part,-0.03219970304740277,-0.009573484748727825,-0.02622204734458331,0.03507161716382465,0.02141537283654103,0.020097811280750638,-0.0016493195665230748,0.001661792535265133,0.001987624050840228,0.0281360170768048
facility,-0.007004380610217697,-0.024746804178277897,0.011831207814744,0.01012458249773622,0.009149786474425218,-0.029810923738066923,0.03546487318691299,-0.0005433660266961626,0.004431844349160136,-0.0073331057717408235
castings,-0.18680176949946198,0.12930706210518578,-0.13733090154556277,0.12505750701121923,0.0863341505494057,5.023013104699797e-05,-0.070121859359959,0.05114076971960815,-0.06639710048481554,-0.031968257875801376
requirements,-0.005953795952848332,-0.013829238993809782,0.006387343988085,0.0035528095715552676,0.001276108322338093,-0.023125568755595557,0.01877716042349894,-0.007603449064573239,-0.003672179008045233,0.007802226104134379
work,-0.027135852351020475,0.014626600507318977,0.01212356781606445,0.04815739070673821,-0.007974200280942494,-0.0078096052181387795,0.002874645779199078,-0.013000293601706568,0.026896237489771255,-0.024005838751537608
address,0.02624555082910103,-0.025605833311056876,-0.008726346876325584,0.026971981001745676,-0.010938535367932857,0.07311066430840041,-0.026434133463687476,-0.0507977258483162,-0.007867613822755677,0.030748616929921032
operations,-0.016136038078316716,-0.03081575252374618,-0.0005656735785041923,0.018266369521591472,0.006557830704351216,0.02215593688527125,0.006259899285200648,0.020613556636674524,0.011411975500033937,-0.007217857576921456
form,0.009883855514027089,-0.00029211294511427533,-0.012407505030707375,-0.0015044515672617295,-0.0035899981189480763,0.0159308790421663,-0.00024207274307078383,-0.016434307388968866,-0.04587767834564621,-0.002599978730811402
applications,0.001468592249833225,-0.018152457004773474,-0.010758354060346975,-0.013096019062317136,0.026433279864392777,-0.014905858490589988,-0.007999876168721666,0.037004953841070595,-0.001834477828679609,0.009858804996257102
aluminum,-0.17536167488607116,-0.029820202479890697,-0.1847914859000312,0.025624533985521017,0.06922789809231619,0.029748522832171356,-0.04230681735514996,0.07342708180480363,-0.005002249552612852,0.07347126568699654
